feature,mean_importance
random_feature,-6.325006182759108e-05
ATA_LT,0.00045479910087806716
minute,0.0005319268369080255
ID,0.0008941635063270615
DEPTH,0.0010777970286596772
DRAUGHT,0.0011461320222443173
hour,0.0014001961639513282
SHIPMANAGER,0.0024311419644877375
FLAG,0.004147058707501217
U_WIND_SQUARE,0.005852578728120572
BREADTH,0.0063906341197656254
BUILT,0.007477149752385637
WIND_DIRECTION,0.0078169377496906
V_WIND_SQUARE,0.01452910284593233
LENGTH,0.01512585092492954
WIND_SPEED_DIR,0.01587329368551771
VOLUME,0.019006406582893088
weekday,0.019065310322813212
ARI_PO,0.019132033403345496
WEEKEND,0.02301643138219158
U_WIND,0.025614532511017352
ARI_CO,0.03142474327779097
WIND_INTENSITY,0.03594240045492606
SHIP_TYPE_CATEGORY,0.03938878837016548
V_WIND,0.04946474907874402
BN,0.05368038066362505
GT,0.09530309183306909
DEADWEIGHT,0.11820126386169863
PORT_SIZE,0.1361283552695373
DIST,0.266962600349418
AIR_TEMPERATURE,0.38650061029444643
day,0.5356396830564213
SEASON,2.1151507260808726
month,15.835950699070608
year,29.935755515679794
BDI_ADJ,46.71849257585638
