feature,mean_importance
DEPTH,3.6268620542423415e-05
ATA_LT,0.00018118906996205107
minute,0.0003553081335479269
random_feature,0.0004166435352016884
ID,0.0014960353689788986
hour,0.0015227105976820976
SHIPMANAGER,0.0016145700864544255
DRAUGHT,0.001850718236427018
FLAG,0.0023896706495303175
BREADTH,0.005238419060763
BUILT,0.01019595259416627
WIND_DIRECTION,0.010739373028851163
U_WIND_SQUARE,0.012319869946709316
WIND_SPEED_DIR,0.012435824906483761
ARI_PO,0.017616979655361707
WEEKEND,0.01766415955492475
LENGTH,0.01886071525171601
weekday,0.020302213420095982
VOLUME,0.025687438601969526
WIND_INTENSITY,0.028528834107856005
ARI_CO,0.030280018116121687
SHIP_TYPE_CATEGORY,0.03800033055375025
U_WIND,0.039032840070679344
BN,0.04550388842214189
V_WIND_SQUARE,0.04698810648706632
V_WIND,0.04814881485156273
PORT_SIZE,0.13206176193706862
GT,0.13965505194543598
DEADWEIGHT,0.14767431663476663
DIST,0.2534722783933656
AIR_TEMPERATURE,0.3031184099211295
day,0.5844197718767201
SEASON,2.3258412833193582
month,17.61547082414309
year,31.550594544424378
BDI_ADJ,48.579367325574005
