Time[s],Signal A,Signal B,Signal C,Sensor A,Sensor B,Sensor C,Sensor D
0.0,316.07196816906355,316.07196816906355,316.07196816906355,694.7332181490635,376.53479292906354,316.07196816906355,547.6753308090636
0.01,316.07196816906355,316.07196816906355,316.07196816906355,694.7332181490635,376.53479292906354,316.07196816906355,547.6753308090636
0.02,316.07196816906355,316.07196816906355,316.07196816906355,695.0267436426069,375.3606909548901,316.07196816906355,548.2170100825329
0.03,316.07196816906355,316.07196816906355,316.07196816906355,696.0186332084138,374.4852056490636,316.07196816906355,548.4528540412553
0.04,316.07196816906355,316.07196816906355,316.07196816906355,695.2247583689023,375.0045546691173,316.07196816906355,548.4210628929551
0.05,316.07196816906355,316.07196816906355,316.07196816906355,694.5491795584305,375.50999928906356,316.07196816906355,547.8931937385784
0.06,316.07196816906355,316.07196816906355,316.07196816906355,693.4365057646261,374.90696357078014,316.07196816906355,547.4428440743059
0.07,316.07196816906355,316.07196816906355,316.07196816906355,693.8870501396901,374.4852056490636,316.07196816906355,547.6753308090636
0.08,316.07196816906355,316.07196816906355,316.07196816906355,695.2456149690636,374.4852056490636,316.07196816906355,548.2802726435175
0.09,316.07196816906355,316.07196816906355,316.07196816906355,695.5373860158952,375.06874979231424,316.07196816906355,548.1390724766237
0.1,316.07196816906355,316.07196816906355,316.07196816906355,694.26564375329,375.2115260918263,316.07196816906355,547.6753308090636
0.11,316.07196816906355,316.07196816906355,316.07196816906355,695.074726530419,375.2659877250304,316.07196816906355,548.1895825055519
0.12,316.07196816906355,316.07196816906355,316.07196816906355,696.4896263157705,375.8031784023566,316.07196816906355,548.1591973741259
0.13,316.07196816906355,316.07196816906355,316.07196816906355,694.7239519649706,375.76465231025446,316.07196816906355,547.4279189797329
0.14,316.07196816906355,316.07196816906355,316.07196816906355,691.6423544481578,374.99210752556587,316.07196816906355,547.3958634346737
0.15,316.07196816906355,316.07196816906355,316.07196816906355,693.2020965169996,375.04528816672007,316.07196816906355,547.9440685940426
0.16,316.07196816906355,316.07196816906355,316.07196816906355,693.3429216094212,375.2081135290051,316.07196816906355,548.1877276290636
0.17,316.07196816906355,316.07196816906355,316.07196816906355,693.6633397376654,375.28396055588877,316.07196816906355,547.6382168825974
0.18,316.07196816906355,316.07196816906355,316.07196816906355,692.6574125485778,374.86294868394214,316.07196816906355,547.4648771375658
0.19,316.07196816906355,316.07196816906355,316.07196816906355,692.8932442097764,375.06747289943877,316.07196816906355,548.2350710456443
0.2,316.07196816906355,316.07196816906355,316.07196816906355,695.1187127230351,374.9114050264159,316.07196816906355,548.1415545268197
0.21,316.07196816906355,316.07196816906355,316.07196816906355,694.4146364510221,375.55990673933155,316.07196816906355,547.4178678037117
0.22,316.07196816906355,316.07196816906355,316.07196816906355,694.6542618982761,375.95149883546105,316.07196816906355,547.7005796747659
0.23,316.07196816906355,316.07196816906355,316.07196816906355,695.5008910647875,374.99575784051154,316.07196816906355,547.9409962627099
0.24,316.07196816906355,316.07196816906355,316.07196816906355,694.209288301439,374.7442878283665,316.07196816906355,547.908196717468
0.25,316.07196816906355,316.07196816906355,316.07196816906355,693.755444090854,375.2773096451652,316.07196816906355,548.4561231329668
0.26,316.07196816906355,316.07196816906355,316.07196816906355,692.7122615537778,374.9065761987842,316.07196816906355,549.2599405203737
0.27,316.07196816906355,316.07196816906355,316.07196816906355,693.9489538243079,374.77146945487385,316.07196816906355,549.1754688302157
0.28,316.07196816906355,316.07196816906355,316.07196816906355,694.7849374344871,374.6732450340672,316.07196816906355,548.3976750525031
0.29,316.07196816906355,316.07196816906355,316.07196816906355,695.9682461547222,374.4852056490636,316.07196816906355,548.4676561605913
0.3,316.07196816906355,316.07196816906355,316.07196816906355,694.4172353276932,374.4852056490636,316.07196816906355,548.1632125156075
0.31,316.07196816906355,316.07196816906355,316.07196816906355,694.0165266673423,374.7488194658426,316.07196816906355,547.9274218461544
0.32,316.07196816906355,316.07196816906355,316.07196816906355,695.4657201470627,375.2898941110643,316.07196816906355,548.1877276290636
0.33,316.07196816906355,316.07196816906355,316.07196816906355,694.4740498870949,375.50999928906356,316.07196816906355,548.1877276290636
0.34,316.07196816906355,316.07196816906355,316.07196816906355,692.1528308048764,375.50999928906356,316.07196816906355,547.9547080016131
0.35,316.07196816906355,316.07196816906355,316.07196816906355,692.8716128656233,375.2303023608984,316.07196816906355,548.212267337567
0.36,316.07196816906355,316.07196816906355,316.07196816906355,692.6244162429571,375.29885900582707,316.07196816906355,548.141052377936
0.37,316.07196816906355,316.07196816906355,316.07196816906355,693.436249566216,374.9375475121723,316.07196816906355,547.6753308090636
0.38,316.07196816906355,316.07196816906355,316.07196816906355,695.56869141201,375.13135648536905,316.07196816906355,547.9766816268419
0.39,316.07196816906355,316.07196816906355,316.07196816906355,696.0490757282837,374.92786936103613,316.07196816906355,547.9079610149308
0.4,316.07196816906355,316.07196816906355,316.07196816906355,694.7750071841156,375.0833653992079,316.07196816906355,547.6753308090636
0.41,316.07196816906355,316.07196816906355,316.07196816906355,694.515365467485,375.7789789253416,316.07196816906355,548.4486810815531
0.42,316.07196816906355,316.07196816906355,316.07196816906355,693.4887886865514,375.14398194301384,316.07196816906355,548.1319009707308
0.43,316.07196816906355,316.07196816906355,316.07196816906355,693.4582949269997,375.0000291804031,316.07196816906355,547.4099973885566
0.44,316.07196816906355,316.07196816906355,316.07196816906355,696.03140828593,375.7696369065194,316.07196816906355,548.1423641137953
0.45,316.07196816906355,316.07196816906355,316.07196816906355,696.4564967869765,375.46325845114313,316.07196816906355,547.89518183824
0.46,316.07196816906355,316.07196816906355,316.07196816906355,695.1561504842915,375.29853312144957,316.07196816906355,548.0002457318001
0.47,316.07196816906355,316.07196816906355,316.07196816906355,694.7332181490635,375.50999928906356,316.07196816906355,548.7001244490635
0.48,316.07196816906355,316.07196816906355,316.07196816906355,695.3660282217636,375.8264043254136,316.07196816906355,548.7001244490635
0.49,316.07196816906355,316.07196816906355,316.07196816906355,695.466783882861,375.14871444004336,316.07196816906355,548.4202102646467
0.5,316.07196816906355,316.07196816906355,316.07196816906355,694.6489493680464,375.0818712500807,316.07196816906355,548.4659078626415
0.51,316.07196816906355,316.07196816906355,316.07196816906355,695.5645307498315,374.97251552075636,316.07196816906355,548.442706534632
0.52,316.07196816906355,316.07196816906355,316.07196816906355,694.7389405967493,375.0691658585321,316.07196816906355,548.7263468687238
0.53,316.07196816906355,316.07196816906355,316.07196816906355,694.7377846295234,376.0239189524126,316.07196816906355,548.5960792003816
0.54,316.07196816906355,316.07196816906355,316.07196816906355,694.7161040952756,376.2757414935698,316.07196816906355,547.701663906437
0.55,316.07196816906355,316.07196816906355,316.07196816906355,695.1553326989668,375.4625943848644,316.07196816906355,547.6753308090636
0.56,316.07196816906355,316.07196816906355,316.07196816906355,696.1809605209899,375.9003677815869,316.07196816906355,548.2338822850219
